Index	Element	Rules	Practices
1.01	Product Owner	The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.	PO is defining goals of the product and individual releases
1.02	Product Owner	The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.	PO is having a view or ownership of the budgets and understanding constraints (e.g. Budget)
1.03	Product Owner	The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.	PO is managing expectations upwards and downwards
1.04	Product Owner	The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.	PO is reviewing and approving PBI acceptance tests, acceptance criteria, sprint goal and other requirements
1.05	Product Owner	The Product Owner is responsible for maximizing the value of the product and the work of the Development Team.	PO is owning product vision, strategy and roadmap
1.06	Product Owner	The Product Owner is the sole person responsible for managing the Product Backlog.	The Product Owner is one person, not a committee
1.07	Product Owner	The Product Owner is the sole person responsible for managing the Product Backlog.	A change in priorities is driven by the Product Owner
1.08	Product Owner	The Product Owner is the sole person responsible for managing the Product Backlog.	PO is ordering items in the Product Backlog and is able to explain stakeholders the rational behind it
1.09	Product Owner	The Product Owner is the sole person responsible for managing the Product Backlog.	PO is responsible to keep Product Backlog visible, transparent, and clear to all, and shows what the Scrum Team will work on next 
1.1	Product Owner	The Product Owner is the sole person responsible for managing the Product Backlog.	PO is ensuring that the Development Team understands items in the Product Backlog.
1.11	Product Owner	For the Product Owner to succeed, the entire organization must respect his or her decisions.	The Product Owner’s decisions are visible in the content and ordering of the Product Backlog
1.12	Product Owner	For the Product Owner to succeed, the entire organization must respect his or her decisions.	PO is ensuring that no one is telling the Development Team to work from a different set of requirements
1.13	Product Owner	For the Product Owner to succeed, the entire organization must respect his or her decisions.	The Development Team isn’t acting on what anyone else says
1.14	Product Owner	For the Product Owner to succeed, the entire organization must respect his or her decisions.	PO is accepting or rejecting work results
1.15	Product Owner	For the Product Owner to succeed, the entire organization must respect his or her decisions.	PO is resolving priority conflicts
2.01	Development Team	The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of “Done” product at the end of each Sprint.	Development Team is accountable for delivering the Increment.
2.02	Development Team	The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of “Done” product at the end of each Sprint.	Development Team is cross-functional, with all of the skills as a team necessary to create a product Increment
2.03	Development Team	The Development Team consists of professionals who do the work of delivering a potentially releasable Increment of “Done” product at the end of each Sprint.	Accountability for delivering increment is belonging to the Development Team as a whole, not individual senior team members.
